"siteName","sampleID","date","time","nameoftester","siteID","depth","airtemp","watertemp","waveheight","currentweather","raininlast3days","tide","comments","testingtype","totalbacteria","ecolbacteria","enterobacteria"
"Campland- Mission Bay",553112672,"2019-11-21","8-9 am","Jamie Owens",792,0.0,"50-60","56-60","2-3","partly cloudy","yes","medium","","Quantitray Sealer","","",10112
"Coronado: Avenida Del Sol",553112618,"2019-11-21","6-7 am","Karoly",664,12.0,"60-70","56-60","3-4","light rain","yes","medium","","Quantitray Sealer","","",41
"Coronado: Silver Strand State Beach",553112619,"2019-11-21","9-10 am","Linda",663,18.0,"50-60","56-60","5-6","light rain","yes","medium","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553112673,"2019-11-21","8-9 am","Hillary",847,0.0,"60-70","61-65","4-5","light rain","yes","medium","","Quantitray Sealer","","",981
"Imperial Beach Pier",553112622,"2019-11-21","1-2 pm","JH",662,6.0,"60-70","56-60","3-4","partly cloudy","yes","medium","","Quantitray Sealer","","",6131
"Imperial Beach: Seacoast Drive",553112624,"2019-11-21","1-2 pm","JH",661,6.0,"60-70","56-60","3-4","partly cloudy","yes","medium","","Quantitray Sealer","","",24196
"Mission Bay Aquatic Center",553112671,"2019-11-21","8-9 am","Jamie Owens",810,0.0,"50-60","56-60","2-3","partly cloudy","yes","medium","","Quantitray Sealer","","",5247
"Ocean Beach Pier",553112674,"2019-11-21","9-10 am","Hillary",846,0.0,"60-70","61-65","2-3","light rain","yes","medium","","Quantitray Sealer","","",1576
"Sunset Cliffs (Ocean Beach)",553112675,"2019-11-21","9-10 am","Hillary",848,0.0,"60-70","61-65","4-5","light rain","yes","medium","","Quantitray Sealer","","",350
"Tourmaline Surf Park- Pacific Beach",553112670,"2019-11-21","8-9 am","Jamie Owens",791,0.0,"50-60","56-60","2-3","partly cloudy","yes","medium","","Quantitray Sealer","","",41
"Campland- Mission Bay",553112426,"2019-11-14","8-9 am","Jamie",792,0.0,"60-70","61-65",0.5,"partly cloudy","no","high","","Quantitray Sealer","","",41
"Dog Beach (Ocean Beach)",553112428,"2019-11-14","8-9 am","Alexis",847,0.0,"60-70","61-65","1-2","sunny","no","high","","Quantitray Sealer","","",31
"Mission Bay Aquatic Center",553112425,"2019-11-14","8-9 am","Jamie",810,0.0,"60-70","61-65",0.5,"partly cloudy","no","high","","Quantitray Sealer","","",0
"Ocean Beach Pier",553112427,"2019-11-14","9-10 am","Alexis",846,0.0,"60-70","61-65","1-2","sunny","no","high","","Quantitray Sealer","","",41
"Sunset Cliffs (Ocean Beach)",553112429,"2019-11-14","9-10 am","Alexis",848,0.0,"60-70","61-65","1-2","sunny","no","high","","Quantitray Sealer","","",41
"Tourmaline Surf Park- Pacific Beach",553112424,"2019-11-14","8-9 am","Jamie",791,0.0,"60-70","61-65","1-2","partly cloudy","no","high","","Quantitray Sealer","","",10
"Imperial Beach Pier",553112421,"2019-11-13","2-3 pm","Gracie, J",662,6.0,"60-70","61-65","2-3","sunny","no","medium","","Quantitray Sealer","","",20
"Imperial Beach: Seacoast Drive",553112423,"2019-11-13","2-3 pm","Colby, Declan, J",661,6.0,"60-70","61-65","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Campland- Mission Bay",553112325,"2019-11-07","8-9 am","Alex",792,0.0,"60-70","56-60",0.5,"overcast","no","medium","","Quantitray Sealer","","",373
"Coronado: Avenida Del Sol",553112361,"2019-11-07","7-8 am","Jessica",664,0.0,"60-70","61-65","1-2","overcast","no","","","Quantitray Sealer","","",52
"Coronado: Silver Strand State Beach",553112362,"2019-11-07","7-8 am","Jessica",663,0.0,"60-70","61-65","1-2","overcast","no","high","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553112328,"2019-11-07","8-9 am","Hillary",847,0.0,"60-70","56-60","2-3","overcast","no","medium","","Quantitray Sealer","","",10
"Mission Bay Aquatic Center",553112326,"2019-11-07","8-9 am","Alex",810,0.0,"60-70","56-60",0.5,"overcast","no","medium","","Quantitray Sealer","","",10
"Ocean Beach Pier",553112327,"2019-11-07","8-9 am","Hillary",846,0.0,"60-70","56-60","2-3","overcast","no","medium","","Quantitray Sealer","","",20
"Sunset Cliffs (Ocean Beach)",553112329,"2019-11-07","8-9 am","Hillary",848,0.0,"60-70","56-60","2-3","overcast","no","medium","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553112324,"2019-11-07","8-9 am","Alex",791,0.0,"60-70","56-60","2-3","overcast","no","medium","","Quantitray Sealer","","",0
"Campland- Mission Bay",553112096,"2019-10-31","8-9 am","Jamie",792,0.0,"60-70","56-60","","","","","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553112105,"2019-10-31","7-8 am","Jessica",664,18.0,"50-60","66-70","1-2","","no","","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553112106,"2019-10-31","7-8 am","Ally",663,18.0,"50-60","66-70","1-2","","no","medium","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553112099,"2019-10-31","9-10 am","Alex",847,0.0,"60-70","56-60","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553112116,"2019-10-31","2-3 pm","A, J",662,6.0,"70-80","61-65","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553112117,"2019-10-31","2-3 pm","A, J",661,6.0,"70-80","61-65","2-3","sunny","no","medium","","Quantitray Sealer","","",10
"Mission Bay Aquatic Center",553112097,"2019-10-31","8-9 am","Jamie",810,0.0,"60-70","56-60",0.5,"sunny","no","medium","","Quantitray Sealer","","",0
"Ocean Beach Pier",553112098,"2019-10-31","8-9 am","Alex",846,0.0,"60-70","56-60","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553112100,"2019-10-31","8-9 am","Alex",848,0.0,"60-70","56-60","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553112095,"2019-10-31","8-9 am","Jamie",791,0.0,"60-70","56-60","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Campland- Mission Bay",553111982,"2019-10-24","8-9 am","Raphaelle",792,0.0,"70-80","61-65",0.5,"sunny","no","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553112044,"2019-10-24","7-8 am","Jessica",664,0.0,"","","","","no","high","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553112045,"2019-10-24","","Jessica ",663,0.0,"","","","","no","","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553111985,"2019-10-24","8-9 am","Caitlin",847,0.0,"70-80","61-65","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553111990,"2019-10-24","11-12 pm","J, Alli",662,6.0,"80-90","61-65","3-4","sunny","no","medium","","Quantitray Sealer","","",10
"Imperial Beach: Seacoast Drive",553111989,"2019-10-24","11-12 pm","J, Alli",661,6.0,"80-90","61-65","3-4","sunny","no","medium","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553111983,"2019-10-24","8-9 am","Raphaelle",810,0.0,"70-80","61-65",0.5,"sunny","no","medium","","Quantitray Sealer","","",0
"Ocean Beach Pier",553111984,"2019-10-24","8-9 am","Caitlin",846,0.0,"70-80","61-65","3-4","sunny","no","medium","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553111986,"2019-10-24","8-9 am","Caitlin",848,0.0,"70-80","61-65","3-4","sunny","no","medium","","Quantitray Sealer","","",100
"Tourmaline Surf Park- Pacific Beach",553111981,"2019-10-24","8-9 am","Raphaelle",791,0.0,"70-80","61-65","3-4","sunny","no","medium","","Quantitray Sealer","","",0
"Campland- Mission Bay",553111798,"2019-10-17","7-8 am","Jamie",792,0.0,"60-70","61-65",0.5,"partly cloudy","no","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553111780,"2019-10-17","7-8 am","Jessica",664,0.0,"60-70","61-65","2-3","overcast","no","medium","","Quantitray Sealer","","",41
"Coronado: Silver Strand State Beach",553111781,"2019-10-17","7-8 am","Ally",663,0.0,"60-70","61-65","2-3","overcast","no","medium","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553111795,"2019-10-17","7-8 am","Hillary",847,0.0,"60-70","61-65","3-4","overcast","no","medium","","Quantitray Sealer","","",345
"Mission Bay Aquatic Center",553111799,"2019-10-17","7-8 am","Jamie",810,0.0,"60-70","61-65",0.5,"partly cloudy","no","medium","","Quantitray Sealer","","",0
"Ocean Beach Pier",553111794,"2019-10-17","7-8 am","Hillary",846,0.0,"60-70","61-65","3-4","overcast","no","medium","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553111796,"2019-10-17","7-8 am","Hillary",848,0.0,"60-70","61-65","3-4","overcast","no","medium","","Quantitray Sealer","","",31
"Tourmaline Surf Park- Pacific Beach",553111797,"2019-10-17","7-8 am","Jamie",791,0.0,"60-70","61-65","3-4","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553111765,"2019-10-16","11-12 pm","P, J",662,6.0,"60-70","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",52
"Imperial Beach: Seacoast Drive",553111764,"2019-10-16","11-12 pm","P, J",661,6.0,"70-80","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",20
"Campland- Mission Bay",553111651,"2019-10-10","9-10 am","Alex/Raph",792,0.0,"60-70","66-70","","partly cloudy","no","medium","","Quantitray Sealer","","",52
"Coronado: Avenida Del Sol",553111642,"2019-10-10","7-8 am","Jessica",664,0.0,"","","","","no","high","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553111648,"2019-10-10","9-10 am","Hillary",847,0.0,"60-70","66-70","1-2","partly cloudy","no","high","","Quantitray Sealer","","",0
"Imperial Beach Pier",553111663,"2019-10-10","2-3 pm","J",662,6.0,"60-70","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553111662,"2019-10-10","2-3 pm","J",661,6.0,"60-70","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553111652,"2019-10-10","9-10 am","Alex/Raph",810,0.0,"60-70","66-70","1-2","partly cloudy","no","medium","","Quantitray Sealer","","",10
"Ocean Beach Pier",553111649,"2019-10-10","9-10 am","Hillary",846,0.0,"60-70","66-70","1-2","partly cloudy","no","high","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553111650,"2019-10-10","9-10 am","Hillary",848,0.0,"60-70","66-70","1-2","partly cloudy","no","high","","Quantitray Sealer","","",20
"Tourmaline Surf Park- Pacific Beach",553111654,"2019-10-10","9-10 am","Alex/Raph",791,0.0,"60-70","66-70","1-2","partly cloudy","no","medium","","Quantitray Sealer","","",10
"Campland- Mission Bay",553111337,"2019-10-03","7-8 am","Reyna",792,0.0,"60-70","71-75",0.5,"sunny","no","high","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553111336,"2019-10-03","7-8 am","Reyna",791,0.0,"60-70","71-75","3-4","sunny","no","high","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553111182,"2019-09-26","7-8 am","Jessica",664,0.0,"","","","overcast","no","","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553111183,"2019-09-26","8-9 am","Jessica",663,0.0,"","","","overcast","no","high","","Quantitray Sealer","","",0
"Imperial Beach Pier",553111181,"2019-09-26","8-9 am","Linda",662,0.0,"70-80","66-70","2-3","overcast","no","high","","Quantitray Sealer","","",16
"Imperial Beach: Seacoast Drive",553111180,"2019-09-26","8-9 am","Linda",661,0.0,"70-80","66-70","2-3","overcast","no","","","Quantitray Sealer","","",0
"Campland- Mission Bay",553110973,"2019-09-19","","Reyna",792,0.0,"60-70","71-75","1-2","partly cloudy","no","high","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553110996,"2019-09-19","7-8 am","Jessica",664,0.0,"","","","","no","high","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553111178,"2019-09-19","","Jessica",664,0.0,"","","","","no","","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553111179,"2019-09-19","","Jessica",663,0.0,"","","","","","","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553110966,"2019-09-19","","Hillary",847,0.0,"60-70","66-70","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553110975,"2019-09-19","","Reyna",810,0.0,"60-70","71-75","1-2","partly cloudy","no","high","","Quantitray Sealer","","",10
"Ocean Beach Pier",553110969,"2019-09-19","","Hillary",846,0.0,"60-70","66-70","1-2","sunny","no","medium","","Quantitray Sealer","","",10
"Sunset Cliffs (Ocean Beach)",553110971,"2019-09-19","","Hillary",848,0.0,"60-70","66-70","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553110976,"2019-09-19","","Reyna",791,0.0,"60-70","71-75","1-2","partly cloudy","no","high","","Quantitray Sealer","","",10
"Imperial Beach Pier",553110942,"2019-09-18","9-10 am","Logan, Jeremy, J",662,6.0,"70-80","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",10
"Imperial Beach: Seacoast Drive",553110943,"2019-09-18","9-10 am","A., M., J.",661,6.0,"70-80","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",10
"Campland- Mission Bay",553110799,"2019-09-12","8-9 am","Reyna",792,0.0,"70-80","71-75",0.5,"overcast","no","high","","Quantitray Sealer","","",20
"Coronado: Avenida Del Sol",553110783,"2019-09-12","8-9 am","Jessica",664,0.0,"60-70","66-70","2-3","partly cloudy","no","","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553110801,"2019-09-12","9-10 am","Jessica",664,0.0,"70-80","71-75","2-3","","no","high","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553110784,"2019-09-12","8-9 am","Jessica",663,0.0,"","66-70","2-3","sunny","no","","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553110800,"2019-09-12","9-10 am","Jessica",663,0.0,"70-80","71-75","2-3","","no","high","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553110795,"2019-09-12","8-9 am","Hillary",847,0.0,"70-80","71-75","3-4","overcast","no","high","","Quantitray Sealer","","",30
"Imperial Beach Pier",553110793,"2019-09-12","11-12 pm","Maya, J",662,6.0,"70-80","71-75","2-3","sunny","no","medium","","Quantitray Sealer","","",10
"Imperial Beach: Seacoast Drive",553110792,"2019-09-12","11-12 pm","Maya, J",661,6.0,"70-80","71-75","2-3","sunny","no","medium","","Quantitray Sealer","","",10
"Mission Bay Aquatic Center",553110797,"2019-09-12","8-9 am","Reyna",810,0.0,"70-80","71-75","3-4","overcast","no","high","","Quantitray Sealer","","",10
"Ocean Beach Pier",553110794,"2019-09-12","8-9 am","Hillary",846,0.0,"70-80","71-75","3-4","overcast","no","high","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553110796,"2019-09-12","8-9 am","Hillary",848,0.0,"70-80","71-75","3-4","overcast","no","high","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553110798,"2019-09-12","8-9 am","Reyna",791,0.0,"70-80","71-75","2-3","overcast","no","high","","Quantitray Sealer","","",0
"Campland- Mission Bay",553110660,"2019-09-05","","Reyna",792,0.0,"","","","","","","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553110628,"2019-09-05","7-8 am","Jessica",664,0.0,"","","1-2","","yes","","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553110654,"2019-09-05","","Jessica",663,0.0,"","","","sunny","no","","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553110671,"2019-09-05","","Jessica",663,0.0,"","","","","","","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553110657,"2019-09-05","","Alexis",847,0.0,"","","","","","","","Quantitray Sealer","","",0
"Imperial Beach Pier",553110662,"2019-09-05","11-12 pm","P.1",662,6.0,"70-80","66-70","3-4","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553110663,"2019-09-05","11-12 pm","P.1",661,6.0,"70-80","66-70","3-4","sunny","no","medium","","Quantitray Sealer","","",272
"Mission Bay Aquatic Center",553110659,"2019-09-05","","Reyna",810,0.0,"","","","","","","","Quantitray Sealer","","",0
"Ocean Beach Pier",553110658,"2019-09-05","","Alexis",846,0.0,"","","","","","","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553110656,"2019-09-05","","Alexis",848,0.0,"","","","","","","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553110661,"2019-09-05","","Reyna",791,0.0,"","","","","","","","Quantitray Sealer","","",0
"Campland- Mission Bay",553110495,"2019-08-29","8-9 am","Jamie & Reyna",792,0.0,"60-70","66-70","1-2","overcast","no","high","","Quantitray Sealer","","",63
"Coronado: Avenida Del Sol",553110487,"2019-08-29","7-8 am","Jessica",664,0.0,"","","","","no","low","","Quantitray Sealer","","",20
"Coronado: Silver Strand State Beach",553110488,"2019-08-29","9-10 am","Jessica",663,0.0,"70-80","71-75","1-2","partly cloudy","no","medium","","Quantitray Sealer","","",20
"Dog Beach (Ocean Beach)",553110497,"2019-08-29","8-9 am","Hillary",847,0.0,"60-70","66-70","1-2","overcast","no","medium","","Quantitray Sealer","","",10
"Imperial Beach Pier",553110505,"2019-08-29","2-3 pm","Anthony, Audrie",662,6.0,"70-80","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553110506,"2019-08-29","2-3 pm","Anthony, Audrie",661,6.0,"70-80","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553110494,"2019-08-29","8-9 am","Jamie & Reyna",810,0.0,"60-70","66-70","1-2","overcast","no","high","","Quantitray Sealer","","",0
"Ocean Beach Pier",553110499,"2019-08-29","8-9 am","Hillary",846,0.0,"60-70","66-70","1-2","overcast","no","medium","","Quantitray Sealer","","",10
"Sunset Cliffs (Ocean Beach)",553110496,"2019-08-29","8-9 am","Hillary",848,0.0,"70-80","66-70","1-2","overcast","no","medium","","Quantitray Sealer","","",10
"Tourmaline Surf Park- Pacific Beach",553110493,"2019-08-29","8-9 am","Jamie & Reyna",791,0.0,"60-70","66-70","1-2","overcast","no","high","","Quantitray Sealer","","",0
"Campland- Mission Bay",553110380,"2019-08-22","8-9 am","Alex",792,0.0,"60-70","71-75",0.5,"overcast","no","low","","Quantitray Sealer","","",397
"Coronado: Avenida Del Sol",553110378,"2019-08-22","8-9 am","Kelli",664,0.0,"60-70","66-70","1-2","overcast","no","low","","Quantitray Sealer","","",10
"Coronado: Silver Strand State Beach",553110377,"2019-08-22","8-9 am","Kelli",663,0.0,"60-70","71-75","1-2","overcast","no","low","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553110375,"2019-08-22","8-9 am","Hillary",847,0.0,"60-70","71-75","1-2","overcast","no","low","","Quantitray Sealer","","",10
"Mission Bay Aquatic Center",553110381,"2019-08-22","8-9 am","Alex",810,0.0,"60-70","71-75",0.5,"overcast","no","low","","Quantitray Sealer","","",10
"Ocean Beach Pier",553110376,"2019-08-22","8-9 am","Hillary",846,0.0,"60-70","71-75","1-2","overcast","no","low","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553110374,"2019-08-22","8-9 am","Hillary",848,0.0,"60-70","71-75","1-2","overcast","no","low","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553110379,"2019-08-22","8-9 am","Alex",791,0.0,"60-70","71-75","1-2","overcast","no","low","","Quantitray Sealer","","",0
"Campland- Mission Bay",553110236,"2019-08-15","","Jamie Owens",792,0.0,"60-70","66-70","2-3","overcast","no","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553110238,"2019-08-15","8-9 am","Linda Smith",664,0.0,"60-70","66-70","3-4","overcast","no","high","","Quantitray Sealer","","",10
"Coronado: Silver Strand State Beach",553110239,"2019-08-15","8-9 am","Linda Smith",663,0.0,"60-70","66-70","3-4","overcast","no","high","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553110233,"2019-08-15","8-9 am","Alex & Hillary",847,0.0,"70-80","71-75","1-2","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553110254,"2019-08-15","1-2 pm","Alli, Anthony",662,6.0,"70-80","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553110253,"2019-08-15","1-2 pm","Alli, Anthony",661,6.0,"70-80","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553110235,"2019-08-15","","Jamie Owens",810,0.0,"60-70","66-70","2-3","overcast","no","medium","","Quantitray Sealer","","",0
"Ocean Beach Pier",553110234,"2019-08-15","8-9 am","Alex & Hillary",846,0.0,"70-80","71-75","1-2","overcast","no","medium","","Quantitray Sealer","","",10
"Sunset Cliffs (Ocean Beach)",553110232,"2019-08-15","8-9 am","Alex & Hillary",848,0.0,"70-80","71-75","1-2","overcast","no","medium","","Quantitray Sealer","","",63
"Tourmaline Surf Park- Pacific Beach",553110237,"2019-08-15","","Jamie Owens",791,0.0,"60-70","66-70","2-3","overcast","no","medium","","Quantitray Sealer","","",10
"Campland- Mission Bay",553110139,"2019-08-09","8-9 am","Jamie",792,0.0,"60-70","66-70","1-2","overcast","no","low","","Quantitray Sealer","","",592
"Coronado: Avenida Del Sol",553110134,"2019-08-09","8-9 am","Korrie",664,0.0,"60-70","61-65","1-2","overcast","no","low","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553110133,"2019-08-09","8-9 am","Korrie",663,0.0,"60-70","61-65","1-2","overcast","no","low","","Quantitray Sealer","","",10
"Dog Beach (Ocean Beach)",553110136,"2019-08-09","8-9 am","Robert",847,0.0,"60-70","71-75","1-2","overcast","no","low","","Quantitray Sealer","","",10
"Imperial Beach Pier",553110132,"2019-08-09","9-10 am","Amber, Pete",662,6.0,"60-70","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553110131,"2019-08-09","9-10 am","Amber, Pete",661,6.0,"60-70","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",10
"Mission Bay Aquatic Center",553110140,"2019-08-09","8-9 am","Jamie",810,0.0,"60-70","66-70","1-2","overcast","no","low","","Quantitray Sealer","","",10
"Ocean Beach Pier",553110135,"2019-08-09","8-9 am","Robert",846,0.0,"60-70","71-75","1-2","overcast","no","low","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553110137,"2019-08-09","8-9 am","Robert",848,0.0,"60-70","71-75","1-2","overcast","no","low","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553110138,"2019-08-09","8-9 am","Jamie",791,0.0,"60-70","66-70","1-2","overcast","no","low","","Quantitray Sealer","","",0
"Imperial Beach Pier",553109972,"2019-08-01","2-3 pm","JJM",662,6.0,"70-80","66-70","3-4","partly cloudy","no","medium","","Quantitray Sealer","","",0
