"siteName","sampleID","date","time","nameoftester","siteID","depth","airtemp","watertemp","waveheight","currentweather","raininlast3days","tide","comments","testingtype","totalbacteria","ecolbacteria","enterobacteria"
"Tourmaline Surf Park- Pacific Beach",553107691,"2019-04-11","8-9 am","Allison",791,0.0,"60-70","56-60","3-4","sunny","no","low","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553107574,"2019-04-04","7-8 am","William",664,18.0,"","","","partly cloudy","yes","","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553107575,"2019-04-04","8-9 am","Michael",663,0.0,"","","","","yes","","","Quantitray Sealer","","",0
"Campland- Mission Bay",553107399,"2019-03-28","7-8 am","Ally Senturk",792,0.0,"50-60","56-60","2-3","sunny","no","low","","Quantitray Sealer","","",404
"Coronado: Avenida Del Sol",553107404,"2019-03-28","8-9 am","Linda Smith",664,0.0,"50-60","61-65","1-2","sunny","no","medium","","Quantitray Sealer","","",10
"Coronado: Silver Strand State Beach",553107403,"2019-03-28","8-9 am","Linda Smith",663,0.0,"60-70","56-60","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553107402,"2019-03-28","8-9 am","Alexis",847,0.0,"50-60","56-60","1-2","sunny","no","low","","Quantitray Sealer","","",10
"Mission Bay Aquatic Center",553107398,"2019-03-28","7-8 am","Ally Senturk",810,0.0,"50-60","56-60","2-3","sunny","no","low","","Quantitray Sealer","","",10
"Ocean Beach Pier",553107401,"2019-03-28","8-9 am","Alexis",846,0.0,"50-60","56-60","1-2","sunny","no","low","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553107400,"2019-03-28","8-9 am","Alexis",848,0.0,"50-60","56-60","1-2","sunny","no","low","","Quantitray Sealer","","",20
"Tourmaline Surf Park- Pacific Beach",553107397,"2019-03-28","7-8 am","Ally Senturk",791,0.0,"50-60","56-60","2-3","sunny","no","low","","Quantitray Sealer","","",10
"Campland- Mission Bay",553107237,"2019-03-21","8-9 am","Allison",792,0.0,"50-60","56-60",0.5,"partly cloudy","yes","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553107245,"2019-03-21","8-9 am","Mike",663,0.0,"","","","","yes","","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553107240,"2019-03-21","8-9 am","Alexis",847,0.0,"50-60","56-60","2-3","partly cloudy","yes","medium","","Quantitray Sealer","","",20
"Imperial Beach Pier",553107265,"2019-03-21","10-11 am","Alana, Fletcher",662,6.0,"60-70","56-60","5-6","sunny","yes","high","33.7ppt
268.2mV
6.68pH","Quantitray Sealer","","",63
"Mission Bay Aquatic Center",553107238,"2019-03-21","8-9 am","Allison",810,0.0,"50-60","56-60",0.5,"partly cloudy","yes","medium","","Quantitray Sealer","","",10
"Ocean Beach Pier",553107239,"2019-03-21","8-9 am","Alexis",846,0.0,"50-60","56-60","2-3","partly cloudy","yes","medium","","Quantitray Sealer","","",10
"Sunset Cliffs (Ocean Beach)",553107241,"2019-03-21","8-9 am","Alexis",848,0.0,"50-60","56-60","2-3","partly cloudy","yes","medium","","Quantitray Sealer","","",31
"Tourmaline Surf Park- Pacific Beach",553107236,"2019-03-21","8-9 am","Allison",791,0.0,"50-60","56-60","2-3","partly cloudy","yes","medium","","Quantitray Sealer","","",0
"Campland- Mission Bay",553107141,"2019-03-14","","Jamie",792,0.0,"50-60","","","","yes","","","Quantitray Sealer","","",10
"Coronado: Avenida Del Sol",553107168,"2019-03-14","9-10 am","William",664,0.0,"","","","","","","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553107169,"2019-03-14","9-10 am","Mike",663,0.0,"","","","","","","","Quantitray Sealer","","",0
"Imperial Beach Pier",553107128,"2019-03-14","10-11 am","Shaunie, Diana",662,6.0,"60-70","56-60","3-4","sunny","no","low","","Quantitray Sealer","","",10
"Mission Bay Aquatic Center",553107142,"2019-03-14","","Jamie",810,0.0,"","","","","","","","Quantitray Sealer","","",63
"Tourmaline Surf Park- Pacific Beach",553107143,"2019-03-14","","Jamie",791,0.0,"","","","","","","","Quantitray Sealer","","",0
"Campland- Mission Bay",553106950,"2019-03-07","7-8 am","Allison",792,0.0,"50-60","56-60",0.5,"partly cloudy","yes","medium","","Quantitray Sealer","","",439
"Coronado: Avenida Del Sol",553106931,"2019-03-07","6-7 am","William",664,24.0,"50-60","61-65","4-5","partly cloudy","yes","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553106936,"2019-03-07","10-11 am","Michael Fuentes",664,24.0,"50-60","61-65","3-4","partly cloudy","yes","high","","Quantitray Sealer","","",3
"Dog Beach (Ocean Beach)",553106955,"2019-03-07","7-8 am","Alexis",847,0.0,"60-70","56-60","3-4","overcast","yes","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553106937,"2019-03-07","8-9 am","Iyarie, Shaunie",662,6.0,"60-70","56-60","2-3","sunny","yes","medium","7.99 pH
3.8m visibility
215.1 ORP
32.7 ppt","Quantitray Sealer","","",900
"Mission Bay Aquatic Center",553106952,"2019-03-07","7-8 am","Allison",810,0.0,"50-60","56-60",0.5,"partly cloudy","yes","medium","","Quantitray Sealer","","",20
"Ocean Beach Pier",553106953,"2019-03-07","7-8 am","Alexis",846,0.0,"60-70","56-60","3-4","overcast","yes","medium","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553106954,"2019-03-07","7-8 am","Alexis",848,0.0,"60-70","56-60","3-4","overcast","yes","medium","","Quantitray Sealer","","",20
"Tourmaline Surf Park- Pacific Beach",553106951,"2019-03-07","7-8 am","Allison",791,0.0,"50-60","56-60","3-4","partly cloudy","yes","medium","","Quantitray Sealer","","",0
"Campland- Mission Bay",553106869,"2019-02-28","","Jamie",792,0.0,"","","","","","","","Quantitray Sealer","","",393
"Coronado: Avenida Del Sol",553106848,"2019-02-28","6-7 am","Tippets",664,0.0,"","61-65","0.5-1","","no","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553106849,"2019-02-28","8-9 am","Linda",663,0.0,"","61-65","1-2","","","medium","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553106866,"2019-02-28","","Justin",847,0.0,"","","","","","","","Quantitray Sealer","","",369
"Imperial Beach Pier",553106847,"2019-02-28","9-10 am","Anthony",662,1.0,"50-60","46-50","1-2","partly cloudy","no","low","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553106870,"2019-02-28","","Jamie",810,0.0,"","","","","","","","Quantitray Sealer","","",71
"Ocean Beach Pier",553106867,"2019-02-28","","Justin",846,0.0,"","","","","","","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553106868,"2019-02-28","","Justin ",848,0.0,"","","","","","","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553106871,"2019-02-28","","Jamie",791,0.0,"","","","","","","","Quantitray Sealer","","",10
"Imperial Beach Pier",553106679,"2019-02-22","10-11 am","Anthony, Shaunessy",662,1.0,"50-60","46-50","1-2","overcast","yes","medium","","Quantitray Sealer","","",31
"Imperial Beach: Seacoast Drive",553106678,"2019-02-22","10-11 am","Anthony, Shaunessy",661,1.0,"50-60","46-50","1-2","overcast","yes","medium","","Quantitray Sealer","","",85
"Campland- Mission Bay",553106704,"2019-02-21","8-9 am","Jamie Owens",792,0.0,"50-60","56-60","4-5","overcast","yes","high","","Quantitray Sealer","","",135
"Coronado: Avenida Del Sol",553106668,"2019-02-21","6-7 am","Sydney",664,0.0,"","","","","yes","","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553106687,"2019-02-21","8-9 am","Linda & Karoly",663,0.0,"50-60","56-60","4-5","overcast","yes","high","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553106707,"2019-02-21","7-8 am","Alex, Glee, Justin",847,0.0,"50-60","56-60","4-5","overcast","yes","medium","","Quantitray Sealer","","",98
"Mission Bay Aquatic Center",553106705,"2019-02-21","8-9 am","Jamie Owens",810,0.0,"50-60","56-60","4-5","overcast","yes","high","","Quantitray Sealer","","",61
"Ocean Beach Pier",553106706,"2019-02-21","7-8 am","Alex, Glee, Justin",846,0.0,"50-60","56-60","4-5","overcast","yes","medium","","Quantitray Sealer","","",218
"Sunset Cliffs (Ocean Beach)",553106708,"2019-02-21","7-8 am","Alex, Glee, Justin",848,0.0,"50-60","56-60","4-5","overcast","yes","medium","","Quantitray Sealer","","",20
"Tourmaline Surf Park- Pacific Beach",553106703,"2019-02-21","8-9 am","Jamie Owens",791,0.0,"50-60","56-60","4-5","overcast","yes","high","","Quantitray Sealer","","",63
"Imperial Beach Pier",553106630,"2019-02-20","10-11 am","Anthony",662,1.0,"50-60","46-50","1-2","partly cloudy","yes","low","","Quantitray Sealer","","",122
"Imperial Beach: Seacoast Drive",553106629,"2019-02-20","10-11 am","Anthony",661,1.0,"50-60","46-50","1-2","partly cloudy","yes","medium","","Quantitray Sealer","","",109
"Coronado: Avenida Del Sol",553106556,"2019-02-14","6-7 am","Tippets",664,12.0,"50-60","56-60","3-4","light rain","yes","high","","Quantitray Sealer","","",579
"Coronado: Silver Strand State Beach",553106557,"2019-02-14","7-8 am","Linda",663,12.0,"50-60","56-60","4-5","light rain","yes","high","","Quantitray Sealer","","",2420
"Dog Beach (Ocean Beach)",553106539,"2019-02-14","8-9 am","Robert",847,0.0,"50-60","56-60","3-4","heavy rain","yes","low","","Quantitray Sealer","","",301
"Ocean Beach Pier",553106537,"2019-02-14","8-9 am","Robert",846,0.0,"50-60","56-60","3-4","heavy rain","yes","low","","Quantitray Sealer","","",85
"Sunset Cliffs (Ocean Beach)",553106536,"2019-02-14","8-9 am","Robert",848,0.0,"50-60","56-60","3-4","heavy rain","yes","low","","Quantitray Sealer","","",110
"Imperial Beach Pier",553106355,"2019-02-08","10-11 am","Anthony",662,1.0,"60-70","61-65","1-2","sunny","yes","medium","","Quantitray Sealer","","",52
"Imperial Beach: Seacoast Drive",553106354,"2019-02-08","11-12 pm","Anthony",661,1.0,"60-70","61-65","1-2","sunny","yes","medium","","Quantitray Sealer","","",52
"Campland- Mission Bay",553106366,"2019-02-07","8-9 am","Jamie",792,0.0,"40-50","56-60",0.5,"sunny","yes","high","","Quantitray Sealer","","",557
"Coronado: Avenida Del Sol",553106359,"2019-02-07","6-7 am","William",664,24.0,"50-60","56-60","2-3","sunny","yes","high","","Quantitray Sealer","","",3
"Coronado: Silver Strand State Beach",553106358,"2019-02-07","9-10 am","Linda Smith",663,18.0,"50-60","56-60","3-4","sunny","yes","high","","Quantitray Sealer","","",2
"Dog Beach (Ocean Beach)",553106370,"2019-02-07","8-9 am","Justin",847,0.0,"50-60","56-60","2-3","sunny","yes","high","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553106368,"2019-02-07","8-9 am","Jamie",810,0.0,"40-50","56-60",0.5,"sunny","yes","high","","Quantitray Sealer","","",97
"Ocean Beach Pier",553106369,"2019-02-07","8-9 am","Justin",846,0.0,"50-60","56-60","2-3","sunny","yes","high","","Quantitray Sealer","","",63
"Sunset Cliffs (Ocean Beach)",553106371,"2019-02-07","8-9 am","Justin",848,0.0,"50-60","56-60","2-3","sunny","yes","high","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553106367,"2019-02-07","8-9 am","Jamie",791,0.0,"40-50","56-60","2-3","sunny","yes","high","","Quantitray Sealer","","",0
"Campland- Mission Bay",553106213,"2019-01-31","8-9 am","Allison",792,0.0,"50-60","56-60",0.5,"overcast","no","low","","Quantitray Sealer","","",216
"Coronado: Avenida Del Sol",553106229,"2019-01-31","9-10 am","Jenna, Summer",664,18.0,"60-70","61-65","3-4","partly cloudy","no","","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553106218,"2019-01-31","8-9 am","Alexis",847,0.0,"50-60","56-60","1-2","overcast","no","high","","Quantitray Sealer","","",61
"Imperial Beach Pier",553106207,"2019-01-31","12-1 pm","Emily, Josh",662,6.0,"60-70","56-60","1-2","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553106206,"2019-01-31","12-1 pm","Emily, Josh",661,6.0,"60-70","56-60","1-2","overcast","no","medium","","Quantitray Sealer","","",10
"Mission Bay Aquatic Center",553106212,"2019-01-31","8-9 am","Allison",810,0.0,"50-60","56-60","3-4","overcast","no","low","","Quantitray Sealer","","",10
"Ocean Beach Pier",553106216,"2019-01-31","8-9 am","Alexis",846,0.0,"50-60","56-60","1-2","overcast","no","high","","Quantitray Sealer","","",10
"Sunset Cliffs (Ocean Beach)",553106217,"2019-01-31","8-9 am","Alexis",848,0.0,"50-60","56-60","1-2","overcast","no","high","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553106214,"2019-01-31","8-9 am","Allison",791,0.0,"50-60","56-60",0.5,"overcast","no","low","","Quantitray Sealer","","",10
"Coronado: Silver Strand State Beach",553106119,"2019-01-25","10-11 am","Cam",663,6.0,"60-70","56-60","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553106118,"2019-01-25","10-11 am","Cam",662,0.0,"60-70","56-60","2-3","sunny","no","medium","","Quantitray Sealer","","",10
"Imperial Beach: Seacoast Drive",553106117,"2019-01-25","11-12 pm","Cam",661,6.0,"60-70","56-60","2-3","sunny","no","medium","","Quantitray Sealer","","",10
"Campland- Mission Bay",553106077,"2019-01-24","8-9 am","Allison",792,0.0,"50-60","56-60",0.5,"sunny","no","medium","","Quantitray Sealer","","",10
"Coronado: Avenida Del Sol",553106090,"2019-01-24","6-7 am","William",664,36.0,"40-50","51-55","1-2","partly cloudy","no","low","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553106073,"2019-01-24","8-9 am","Robert",847,0.0,"50-60","56-60","3-4","sunny","no","high","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553106076,"2019-01-24","8-9 am","Allison",810,0.0,"50-60","56-60",0.5,"sunny","no","medium","","Quantitray Sealer","","",0
"Ocean Beach Pier",553106074,"2019-01-24","8-9 am","Robert",846,0.0,"50-60","56-60","3-4","sunny","no","high","","Quantitray Sealer","","",20
"Sunset Cliffs (Ocean Beach)",553106072,"2019-01-24","8-9 am","Robert",848,0.0,"50-60","56-60","3-4","sunny","no","high","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553106075,"2019-01-24","8-9 am","Allison",791,0.0,"50-60","56-60","2-3","sunny","no","high","","Quantitray Sealer","","",0
"Campland- Mission Bay",553105979,"2019-01-17","8-9 am","Jamie",792,0.0,"60-70","56-60",0.5,"overcast","yes","medium","","Quantitray Sealer","","",10
"Coronado: Avenida Del Sol",553105969,"2019-01-17","6-7 am","Tippets",664,6.0,"50-60","56-60","4-5","overcast","yes","high","","Quantitray Sealer","","",15
"Coronado: Silver Strand State Beach",553106083,"2019-01-17","9-10 am","Cameron, Linda",663,6.0,"60-70","56-60","5-6","overcast","yes","medium","","Quantitray Sealer","","",359
"Dog Beach (Ocean Beach)",553105982,"2019-01-17","8-9 am","Robert",847,0.0,"60-70","56-60","4-5","overcast","yes","high","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553105980,"2019-01-17","8-9 am","Jamie",810,0.0,"60-70","56-60",0.5,"overcast","yes","medium","","Quantitray Sealer","","",0
"Ocean Beach Pier",553105981,"2019-01-17","8-9 am","Robert",846,0.0,"60-70","56-60","4-5","overcast","yes","high","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553105983,"2019-01-17","8-9 am","Robert",848,0.0,"60-70","56-60","4-5","overcast","yes","high","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553105978,"2019-01-17","8-9 am","Jamie",791,0.0,"60-70","56-60","2-3","overcast","yes","","","Quantitray Sealer","","",0
"Campland- Mission Bay",553105817,"2019-01-10","8-9 am","Jamie",792,0.0,"50-60","56-60",0.5,"partly cloudy","no","high","","Quantitray Sealer","","",10
"Coronado: Avenida Del Sol",553105799,"2019-01-10","6-7 am","William",664,18.0,"50-60","56-60","4-5","partly cloudy","no","high","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553105813,"2019-01-10","7-8 am","Tippets",663,0.0,"50-60","56-60","4-5","partly cloudy","no","high","Actual count of 1","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553105815,"2019-01-10","8-9 am","Alexis",847,0.0,"60-70","56-60","6-8","overcast","no","medium","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553105819,"2019-01-10","8-9 am","Jamie",810,0.0,"50-60","56-60",0.5,"partly cloudy","no","high","","Quantitray Sealer","","",0
"Ocean Beach Pier",553105814,"2019-01-10","8-9 am","Alexis",846,0.0,"60-70","56-60","6-8","overcast","no","medium","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553105816,"2019-01-10","8-9 am","Alexis",848,0.0,"60-70","56-60","6-8","overcast","no","medium","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553105821,"2019-01-10","8-9 am","Jamie",791,0.0,"50-60","56-60","4-5","partly cloudy","no","high","","Quantitray Sealer","","",0
"Campland- Mission Bay",553105445,"2018-12-20","8-9 am","Jamie",792,0.0,"50-60","51-55","4-5","sunny","no","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553105443,"2018-12-20","7-8 am","Tippets",664,6.0,"60-70","61-65","4-5","overcast","no","high","","Quantitray Sealer","","",50
"Coronado: Silver Strand State Beach",553105457,"2018-12-20","","Emily, CC",663,6.0,"60-70","56-60","4-5","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553105449,"2018-12-20","8-9 am","Robert",847,0.0,"60-70","61-65","6-8","sunny","no","high","","Quantitray Sealer","","",52
"Imperial Beach Pier",553105456,"2018-12-20","9-10 am","Emily",662,6.0,"60-70","56-60","4-5","partly cloudy","no","medium","","Quantitray Sealer","","",10
"Imperial Beach: Seacoast Drive",553105455,"2018-12-20","9-10 am","Emily",661,6.0,"60-70","56-60","4-5","partly cloudy","no","medium","","Quantitray Sealer","","",109
"Mission Bay Aquatic Center",553105447,"2018-12-20","8-9 am","Jamie",810,0.0,"50-60","51-55","4-5","sunny","no","medium","","Quantitray Sealer","","",0
"Ocean Beach Pier",553105448,"2018-12-20","8-9 am","Robert",846,0.0,"60-70","61-65","6-8","sunny","no","high","","Quantitray Sealer","","",74
"Sunset Cliffs (Ocean Beach)",553105450,"2018-12-20","8-9 am","Robert",848,0.0,"60-70","61-65","6-8","sunny","no","high","","Quantitray Sealer","","",20
"Tourmaline Surf Park- Pacific Beach",553105444,"2018-12-20","","Jamie",791,0.0,"50-60","51-55","4-5","sunny","no","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553105314,"2018-12-14","10-11 am","Linda",663,2.0,"60-70","66-70","1-2","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553105312,"2018-12-14","8-9 am","Anthony",662,1.0,"60-70","61-65","0.5-1","partly cloudy","no","medium","","Quantitray Sealer","","",74
"Imperial Beach: Seacoast Drive",553105313,"2018-12-14","8-9 am","Anthony",661,1.0,"60-70","61-65","1-2","partly cloudy","no","medium","","Quantitray Sealer","","",171
"Campland- Mission Bay",553105326,"2018-12-13","","Frank",792,0.0,"","","","","","","","Quantitray Sealer","","",10
"Coronado: Avenida Del Sol",553105305,"2018-12-13","6-7 am","William",664,24.0,"60-70","61-65","1-2","partly cloudy","no","","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553105327,"2018-12-13","","Frank",810,0.0,"","","","","","","","Quantitray Sealer","","",10
"Tourmaline Surf Park- Pacific Beach",553105325,"2018-12-13","","Frank",791,0.0,"","","","","","","","Quantitray Sealer","","",0
"Campland- Mission Bay",553105113,"2018-12-06","8-9 am","Jamie",792,0.0,"50-60","56-60",0.5,"light rain","yes","high","","Quantitray Sealer","","",4352
"Coronado: Avenida Del Sol",553105099,"2018-12-06","6-7 am","Jenna & Summer",664,18.0,"50-60","61-65","4-5","overcast","yes","high","","Quantitray Sealer","","",43
"Coronado: Silver Strand State Beach",553105092,"2018-12-06","10-11 am","Linda, Cameron",663,6.0,"60-70","61-65","3-4","overcast","yes","medium","","Quantitray Sealer","","",1130
"Dog Beach (Ocean Beach)",553105114,"2018-12-06","8-9 am","RW",847,0.0,"50-60","56-60","3-4","light rain","yes","high","","Quantitray Sealer","","",650
"Mission Bay Aquatic Center",553105112,"2018-12-06","7-8 am","Jamie",810,0.0,"50-60","56-60",0.5,"light rain","yes","high","","Quantitray Sealer","","",3282
"Ocean Beach Pier",553105115,"2018-12-06","8-9 am","RW",846,0.0,"50-60","56-60","3-4","light rain","yes","high","","Quantitray Sealer","","",41
"Sunset Cliffs (Ocean Beach)",553105116,"2018-12-06","8-9 am","RW",848,0.0,"50-60","56-60","3-4","light rain","yes","high","","Quantitray Sealer","","",20
"Tourmaline Surf Park- Pacific Beach",553105109,"2018-12-06","7-8 am","Jamie",791,0.0,"50-60","56-60","3-4","light rain","yes","high","","Quantitray Sealer","","",1565
"Imperial Beach Pier",553104984,"2018-11-30","10-11 am","Audrie, Cameron",662,6.0,"60-70","61-65","5-6","overcast","yes","medium","","Quantitray Sealer","","",30
"Campland- Mission Bay",553104928,"2018-11-29","8-9 am","Jamie Owens",792,0.0,"60-70","61-65","0.5-1","light rain","yes","medium","","Quantitray Sealer","","",10
"Coronado: Avenida Del Sol",553104941,"2018-11-29","6-7 am","Tippets",664,18.0,"50-60","61-65","2-3","overcast","yes","medium","","Quantitray Sealer","","",20
"Dog Beach (Ocean Beach)",553105025,"2018-11-29","7-8 am","RW",847,0.0,"60-70","61-65","5-6","light rain","yes","high","","Quantitray Sealer","","",0
"Imperial Beach Pier",553104962,"2018-11-29","9-10 am","Jake, Cameron, Anthony",662,6.0,"60-70","61-65","3-4","overcast","yes","low","","Quantitray Sealer","","",20
"Imperial Beach: Seacoast Drive",553104961,"2018-11-29","9-10 am","Cameron, Jake",661,6.0,"60-70","61-65","3-4","overcast","yes","low","","Quantitray Sealer","","",10
"Imperial Beach: Seacoast Drive",553104963,"2018-11-29","9-10 am","Jake, Cameron, Anthony",661,6.0,"60-70","61-65","3-4","overcast","yes","low","","Quantitray Sealer","","",30
"Mission Bay Aquatic Center",553104927,"2018-11-29","8-9 am","Jamie Owens",810,0.0,"60-70","61-65","0.5-1","light rain","yes","medium","","Quantitray Sealer","","",0
"Ocean Beach Pier",553105024,"2018-11-29","7-8 am","RW",846,0.0,"60-70","61-65","5-6","light rain","yes","high","","Quantitray Sealer","","",0
"Sunset Cliffs (Ocean Beach)",553105026,"2018-11-29","7-8 am","RW",848,0.0,"60-70","61-65","5-6","light rain","yes","high","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553104926,"2018-11-29","8-9 am","Jamie Owens",791,0.0,"60-70","61-65","4-5","light rain","yes","medium","","Quantitray Sealer","","",63
"Coronado: Avenida Del Sol",553104612,"2018-11-15","6-7 am","William",664,24.0,"60-70","61-65","1-2","sunny","no","high","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553104601,"2018-11-15","9-10 am","Linda, Anthony",663,2.0,"60-70","61-65","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553104602,"2018-11-15","9-10 am","Anthony",662,3.0,"60-70","66-70","1-2","partly cloudy","no","low","","Quantitray Sealer","","",10
