"siteName","sampleID","date","time","nameoftester","siteID","depth","airtemp","watertemp","waveheight","currentweather","raininlast3days","tide","comments","testingtype","totalbacteria","ecolbacteria","enterobacteria"
"Imperial Beach: Seacoast Drive",553104603,"2018-11-15","9-10 am","Anthony",661,3.0,"60-70","61-65","1-2","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553104614,"2018-11-15","8-9 am","Jamie",810,0.0,"60-70","61-65",0.5,"sunny","no","low","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553104615,"2018-11-15","9-10 am","Jamie",810,0.0,"60-70","61-65",0.5,"sunny","no","low","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553104613,"2018-11-15","8-9 am","Jamie",791,0.0,"60-70","61-65","1-2","sunny","no","low","","Quantitray Sealer","","",0
"Campland- Mission Bay",553104464,"2018-11-08","8-9 am","Jamie",792,0.0,"60-70","61-65","1-2","overcast","no","high","","Quantitray Sealer","","",10
"Coronado: Avenida Del Sol",553104470,"2018-11-08","6-7 am","William",664,24.0,"60-70","66-70","0.5-1","sunny","no","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553104453,"2018-11-08","7-8 am","Charlotte, Linda, Anthony",663,6.0,"60-70","61-65","1-2","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553104455,"2018-11-08","8-9 am","Damen, Anthony",662,6.0,"60-70","61-65","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553104463,"2018-11-08","8-9 am","Jamie",810,0.0,"60-70","61-65","1-2","overcast","no","high","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553104462,"2018-11-08","8-9 am","Jamie",791,0.0,"60-70","61-65","1-2","overcast","no","high","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553104291,"2018-11-01","6-7 am","Will & Sydney",664,24.0,"60-70","66-70","1-2","sunny","no","high","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553104287,"2018-11-01","7-8 am","Charlotte, Anthony",663,6.0,"70-80","61-65","1-2","sunny","no","high","","Quantitray Sealer","","",0
"Imperial Beach Pier",553104288,"2018-11-01","8-9 am","Iyarie, Anthony",662,6.0,"60-70","66-70","3-4","sunny","no","high","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553104289,"2018-11-01","9-10 am","Gaby, Anthony",661,6.0,"70-80","66-70","3-4","sunny","no","medium","","Quantitray Sealer","","",0
"Campland- Mission Bay",553104193,"2018-10-25","8-9 am","Frank",792,0.0,"60-70","66-70","2-3","overcast","no","medium","","Quantitray Sealer","","",30
"Coronado: Avenida Del Sol",553104187,"2018-10-25","7-8 am","Charlotte, Anthony",664,6.0,"60-70","66-70","2-3","partly cloudy","no","medium","","Quantitray Sealer","","",10
"Coronado: Silver Strand State Beach",553104189,"2018-10-25","8-9 am","Charlotte, Cameron",663,6.0,"60-70","61-65","2-3","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553104191,"2018-10-25","9-10 am","Tobe, Anthony",662,6.0,"60-70","61-65","3-4","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553104190,"2018-10-25","9-10 am","Ethan, Anthony",661,6.0,"60-70","61-65","3-4","overcast","no","medium","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553104192,"2018-10-25","8-9 am","Frank",810,0.0,"60-70","66-70","2-3","overcast","no","medium","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553104188,"2018-10-25","8-9 am","Frank",791,0.0,"60-70","66-70","2-3","overcast","no","medium","","Quantitray Sealer","","",10
"Coronado: Avenida Del Sol",553104025,"2018-10-18","9-10 am","Ally, Cameron",664,6.0,"70-80","66-70","1-2","sunny","no","low","","Quantitray Sealer","","",10
"Coronado: Silver Strand State Beach",553104027,"2018-10-18","9-10 am","Ally, Cameron",663,6.0,"70-80","66-70","1-2","sunny","no","low","","Quantitray Sealer","","",0
"Imperial Beach Pier",553104024,"2018-10-18","9-10 am","Emily, Cameron",662,6.0,"70-80","66-70","1-2","sunny","no","low","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553104026,"2018-10-18","9-10 am","Emily, Cameron",661,6.0,"60-70","66-70","1-2","sunny","no","low","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553104028,"2018-10-18","10-11 am","Emily",661,6.0,"60-70","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",10
"Mission Bay Aquatic Center",553104030,"2018-10-18","8-9 am","RW",810,0.0,"60-70","66-70","2-3","sunny","no","high","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553104031,"2018-10-18","8-9 am","RW",810,0.0,"70-80","66-70","2-3","sunny","no","high","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553104029,"2018-10-18","7-8 am","RW",791,0.0,"50-60","66-70","2-3","sunny","no","high","","Quantitray Sealer","","",0
"Campland- Mission Bay",553103901,"2018-10-11","7-8 am","RW",792,0.0,"60-70","66-70","2-3","partly cloudy","no","medium","","Quantitray Sealer","","",20
"Coronado: Avenida Del Sol",553103910,"2018-10-11","7-8 am","Charlotte, Anthony, Cameron",664,6.0,"60-70","66-70","4-5","overcast","no","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553103912,"2018-10-11","7-8 am","Charlotte, Anthony, Cameron",663,6.0,"60-70","66-70","3-4","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553103914,"2018-10-11","9-10 am","Emily, Anthony, Cameron",662,6.0,"60-70","66-70","4-5","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553103913,"2018-10-11","9-10 am","Emily, Anthony, Cameron",661,6.0,"60-70","66-70","4-5","overcast","no","medium","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553103900,"2018-10-11","7-8 am","RW",810,0.0,"60-70","66-70","2-3","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553103899,"2018-10-11","8-9 am","RW",791,0.0,"60-70","66-70","2-3","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Campland- Mission Bay",553103753,"2018-10-04","9-10 am","RW",792,0.0,"60-70","66-70","2-3","overcast","no","high","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553103754,"2018-10-04","","RW",810,0.0,"60-70","66-70","2-3","overcast","no","high","","Quantitray Sealer","","",20
"Tourmaline Surf Park- Pacific Beach",553103752,"2018-10-04","8-9 am","Elijah",791,0.0,"60-70","66-70","2-3","overcast","no","high","","Quantitray Sealer","","",0
"Campland- Mission Bay",553103560,"2018-09-27","8-9 am","RW",792,0.0,"60-70","66-70","2-3","overcast","no","high","","Quantitray Sealer","","",199
"Mission Bay Aquatic Center",553103561,"2018-09-27","8-9 am","RW",810,0.0,"60-70","66-70",0.5,"overcast","no","high","","Quantitray Sealer","","",30
"Tourmaline Surf Park- Pacific Beach",553103559,"2018-09-27","9-10 am","RW",791,0.0,"60-70","66-70","3-4","overcast","no","high","","Quantitray Sealer","","",0
"Campland- Mission Bay",553103451,"2018-09-20","","RW",792,0.0,"60-70","66-70",0.5,"overcast","no","high","","Quantitray Sealer","","",10
"Mission Bay Aquatic Center",553103450,"2018-09-20","7-8 am","RW",810,0.0,"60-70","66-70",0.5,"overcast","no","high","","Quantitray Sealer","","",10
"Tourmaline Surf Park- Pacific Beach",553103449,"2018-09-20","8-9 am","RW",791,0.0,"60-70","66-70","3-4","overcast","no","high","","Quantitray Sealer","","",10
"Campland- Mission Bay",553103302,"2018-09-13","8-9 am","RW",792,0.0,"70-80","66-70",0.5,"overcast","no","medium","","Quantitray Sealer","","",10
"Imperial Beach Pier",553103301,"2018-09-13","3-4 pm","Emily, Cameron, Anthony",662,6.0,"60-70","61-65","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553103299,"2018-09-13","3-4 pm","Emily, Cameron, Anthony",661,6.0,"60-70","61-65","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Mission Bay Aquatic Center",553103300,"2018-09-13","8-9 am","RW",810,0.0,"70-80","66-70",0.5,"overcast","no","medium","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553103298,"2018-09-13","8-9 am","RW",791,0.0,"70-80","66-70","2-3","overcast","no","medium","","Quantitray Sealer","","",10
"Campland- Mission Bay",553103140,"2018-09-06","9-10 am","RW",792,0.0,"70-80","71-75",0.5,"overcast","no","high","","Quantitray Sealer","","",30
"Mission Bay Aquatic Center",553103139,"2018-09-06","9-10 am","RW",810,0.0,"70-80","71-75",0.5,"overcast","no","high","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553103138,"2018-09-06","10-11 am","RW",791,0.0,"70-80","71-75","2-3","overcast","no","high","","Quantitray Sealer","","",0
"Campland- Mission Bay",553103031,"2018-08-30","8-9 am","Robert ",792,0.0,"70-80","71-75","0.5-1","","no","low","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553103027,"2018-08-30","9-10 am","Suzanne",664,6.0,"70-80","71-75","1-2","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553103028,"2018-08-30","9-10 am","Suzanne",663,6.0,"70-80","66-70","1-2","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553103029,"2018-08-30","9-10 am","Emily, Cameron, Joshua",662,6.0,"70-80","66-70","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553103030,"2018-08-30","9-10 am","Emily, Cameron, Joshua",661,6.0,"70-80","66-70","1-2","","no","medium","","Quantitray Sealer","","",20
"Mission Bay Aquatic Center",553103033,"2018-08-30","8-9 am","Robert ",810,0.0,"70-80","71-75",0.5,"","no","","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553103032,"2018-08-30","8-9 am","Robert ",791,0.0,"70-80","71-75","1-2","","no","low","","Quantitray Sealer","","",0
"Campland- Mission Bay",553102901,"2018-08-23","9-10 am","Hannah",792,0.0,"70-80","71-75","1-2","sunny","","high","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553102893,"2018-08-23","11-12 pm","Charlotte",664,6.0,"70-80","71-75","1-2","sunny","no","medium","","Quantitray Sealer","","",131
"Coronado: Silver Strand State Beach",553102892,"2018-08-23","11-12 pm","Charlotte",663,6.0,"70-80","66-70","1-2","sunny","no","medium","","Quantitray Sealer","","",179
"Mission Bay Aquatic Center",553102919,"2018-08-23","10-11 am","Hannah",810,3.0,"70-80","71-75","1-2","sunny","no","high","","Quantitray Sealer","","",0
"Tourmaline Surf Park- Pacific Beach",553102900,"2018-08-23","9-10 am","Hannah",791,0.0,"70-80","71-75","1-2","sunny","","high","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553102736,"2018-08-16","9-10 am","Suzanne",664,6.0,"70-80","71-75","1-2","sunny","no","medium","","Quantitray Sealer","","",30
"Coronado: Silver Strand State Beach",553102737,"2018-08-16","9-10 am","Suzanne ",663,6.0,"70-80","71-75","1-2","sunny","no","medium","","Quantitray Sealer","","",10
"Imperial Beach Pier",553102738,"2018-08-16","10-11 am","Emily, Cameron, Josh",662,6.0,"70-80","71-75","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553102739,"2018-08-16","10-11 am","Emily, Cameron, Josh",661,6.0,"70-80","71-75","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553102668,"2018-08-09","11-12 pm","Charlotte",664,6.0,"80-90","76-80","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553102667,"2018-08-09","11-12 pm","Charlotte",663,6.0,"70-80","76-80","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553102669,"2018-08-09","11-12 pm","Cameron, Emily, Josh",662,6.0,"80-90","76-80","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553102670,"2018-08-09","11-12 pm","Cameron, Emily, Josh",661,6.0,"80-90","76-80","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553102574,"2018-08-02","12-1 pm","Charlotte",664,6.0,"70-80","76-80","1-2","sunny","no","high","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553102573,"2018-08-02","12-1 pm","Charlotte",663,6.0,"70-80","66-70","1-2","sunny","no","high","","Quantitray Sealer","","",0
"Imperial Beach Pier",553102576,"2018-08-02","1-2 pm","Josh",662,6.0,"80-90","71-75","1-2","sunny","no","high","","Quantitray Sealer","","",10
"Imperial Beach: Seacoast Drive",553102575,"2018-08-02","1-2 pm","Josh",661,6.0,"80-90","71-75","1-2","sunny","no","high","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553102466,"2018-07-27","10-11 am","Hannah",664,6.0,"70-80","71-75","2-3","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553102465,"2018-07-26","10-11 am","Hannah",663,6.0,"70-80","71-75","2-3","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553102463,"2018-07-26","11-12 pm","Emily, Cameron, Matt, Jeremy",662,6.0,"70-80","66-70","2-3","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553102464,"2018-07-26","12-1 pm","Emily, Cameron, Matt, Jeremy",661,6.0,"70-80","66-70","3-4","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553102321,"2018-07-19","12-1 pm","Charlotte",664,0.0,"70-80","71-75","1-2","sunny","no","high","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553102322,"2018-07-19","12-1 pm","Charlotte",663,0.0,"70-80","61-65","1-2","sunny","no","high","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553102154,"2018-07-12","10-11 am","Kirsten",664,0.0,"70-80","71-75","1-2","sunny","no","high","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553102155,"2018-07-12","","Kirsten",663,0.0,"70-80","71-75","1-2","sunny","no","high","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553102011,"2018-07-05","10-11 am","Suzanne",664,0.0,"60-70","66-70","1-2","sunny","no","medium","","Quantitray Sealer","","",110
"Coronado: Silver Strand State Beach",553102012,"2018-07-05","10-11 am","Suzanne",663,0.0,"60-70","66-70","2-3","sunny","no","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553101932,"2018-06-28","10-11 am","Suzanne",664,0.0,"60-70","66-70","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553101933,"2018-06-28","10-11 am","Suzanne",663,0.0,"60-70","66-70","1-2","sunny","no","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553101825,"2018-06-21","10-11 am","Charlotte",664,0.0,"60-70","66-70","1-2","partly cloudy","no","low","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553101826,"2018-06-21","10-11 am","Charlotte",663,0.0,"60-70","66-70","1-2","partly cloudy","no","low","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553101530,"2018-06-05","9-10 am","Charlotte",664,6.0,"60-70","61-65","1-2","overcast","no","","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553101529,"2018-06-05","9-10 am","Charlotte",663,6.0,"60-70","56-60","1-2","overcast","no","","","Quantitray Sealer","","",20
"Coronado: Avenida Del Sol",553101464,"2018-05-31","9-10 am","Suzanne",664,6.0,"60-70","56-60","1-2","overcast","yes","low","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553101465,"2018-05-31","10-11 am","Suzanne ",663,6.0,"60-70","56-60","1-2","overcast","yes","low","","Quantitray Sealer","","",0
"Imperial Beach Pier",553101467,"2018-05-31","11-12 pm","Josh",662,6.0,"60-70","56-60","1-2","partly cloudy","yes","medium","","Quantitray Sealer","","",10
"Imperial Beach: Seacoast Drive",553101466,"2018-05-31","11-12 pm","Josh",661,6.0,"60-70","56-60","1-2","partly cloudy","yes","medium","","Quantitray Sealer","","",10
"Coronado: Avenida Del Sol",553101384,"2018-05-24","9-10 am","CC",664,6.0,"60-70","61-65","1-2","partly cloudy","yes","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553101386,"2018-05-24","9-10 am","CC",663,6.0,"60-70","61-65","1-2","partly cloudy","yes","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553101382,"2018-05-24","9-10 am","Matt",662,6.0,"60-70","56-60","1-2","overcast","yes","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553101380,"2018-05-24","9-10 am","Matt",661,6.0,"60-70","56-60","1-2","overcast","yes","medium","","Quantitray Sealer","","",10
"Imperial Beach Pier",553101377,"2018-05-23","1-2 pm","Bailey, Josh",662,6.0,"70-80","61-65","2-3","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553101376,"2018-05-23","1-2 pm","Bailey, Josh",661,6.0,"70-80","61-65","2-3","partly cloudy","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553101298,"2018-05-18","11-12 pm","Abby",662,6.0,"60-70","56-60","1-2","overcast","no","medium","","Quantitray Sealer","","",41
"Imperial Beach: Seacoast Drive",553101297,"2018-05-18","11-12 pm","Abby",661,6.0,"60-70","56-60","1-2","overcast","no","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553101244,"2018-05-17","11-12 pm","Suzanne",664,6.0,"60-70","51-55","1-2","overcast","no","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553101243,"2018-05-17","11-12 pm","Suzanne",663,6.0,"60-70","51-55","1-2","overcast","no","medium","","Quantitray Sealer","","",145
"Coronado: Avenida Del Sol",553101117,"2018-05-10","9-10 am","Gabriela",664,6.0,"60-70","61-65","3-4","overcast","no","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553101118,"2018-05-10","9-10 am","Gabriela",663,6.0,"60-70","51-55","3-4","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553101120,"2018-05-10","10-11 am","Matt",662,6.0,"60-70","56-60","3-4","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553101119,"2018-05-10","10-11 am","Matt",661,6.0,"60-70","56-60","2-3","overcast","no","medium","","Quantitray Sealer","","",0
"Coronado: Avenida Del Sol",553100940,"2018-05-03","10-11 am","Suzanne, Matt, Peterson",664,6.0,"50-60","51-55","1-2","sunny","yes","high","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553100941,"2018-05-03","11-12 pm","Suzanne, Matt, Peterson",663,6.0,"60-70","51-55","1-2","sunny","yes","high","","Quantitray Sealer","","",0
"Imperial Beach Pier",553100942,"2018-05-03","9-10 am","Matt, Peterson",662,6.0,"60-70","56-60","1-2","sunny","yes","high","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553100943,"2018-05-03","10-11 am","Matt, Peterson",661,6.0,"60-70","56-60","1-2","sunny","yes","high","","Quantitray Sealer","","",10
"Coronado: Avenida Del Sol",553100844,"2018-04-26","9-10 am","Gabriela ",664,6.0,"60-70","61-65","1-2","overcast","no","medium","","Quantitray Sealer","","",0
"Coronado: Silver Strand State Beach",553100845,"2018-04-26","9-10 am","Gabriela",663,6.0,"50-60","61-65","1-2","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553100846,"2018-04-26","8-9 am","Tiffany",662,6.0,"60-70","56-60","1-2","overcast","no","","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553100847,"2018-04-26","8-9 am","Anthony",661,6.0,"60-70","56-60","2-3","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553100682,"2018-04-19","10-11 am","Matt",662,6.0,"60-70","56-60","3-4","partly cloudy","yes","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553100683,"2018-04-19","10-11 am","Annie, Paige, Abbey",661,6.0,"60-70","56-60","3-4","partly cloudy","yes","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553100562,"2018-04-12","9-10 am","Summer, Charles, Corey",662,6.0,"60-70","61-65","2-3","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553100561,"2018-04-12","9-10 am","Iliana, Anthony, Darrion",661,6.0,"60-70","61-65","3-4","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553100420,"2018-04-04","11-12 pm","Annie, Paige, Abbey",662,6.0,"50-60","56-60","1-2","overcast","no","medium","","Quantitray Sealer","","",10
"Imperial Beach: Seacoast Drive",553100419,"2018-04-04","11-12 pm","Delilah, Josh",661,6.0,"50-60","56-60","1-2","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553100125,"2018-03-15","10-11 am","Matt",662,6.0,"50-60","56-60","1-2","partly cloudy","yes","medium","","Quantitray Sealer","","",30
"Imperial Beach: Seacoast Drive",553100126,"2018-03-15","10-11 am","Matt",661,6.0,"50-60","56-60","1-2","partly cloudy","yes","medium","","Quantitray Sealer","","",94
"Imperial Beach Pier",553099519,"2018-03-08","10-11 am","Matt",662,6.0,"60-70","56-60","1-2","overcast","no","low","","Quantitray Sealer","","",0
"Imperial Beach Pier",553099520,"2018-03-08","10-11 am","Matt",662,6.0,"60-70","56-60","1-2","overcast","no","low","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553099517,"2018-03-08","10-11 am","Matt ",661,6.0,"60-70","56-60","1-2","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553099518,"2018-03-08","10-11 am","Matt",661,6.0,"60-70","56-60","1-2","overcast","no","medium","","Quantitray Sealer","","",0
"Imperial Beach Pier",553099488,"2018-03-01","8-9 am","Emily, Charles, Tiffany",662,6.0,"50-60","61-65","3-4","sunny","yes","high","Water sample retreived from 20 feet from shoreline.","Quantitray Sealer","","",0
"Imperial Beach Pier",553099489,"2018-03-01","8-9 am","Victoria, Sophia, Jake",662,78.7,"50-60","61-65","3-4","partly cloudy","yes","high","Sample was collected 818 feet from the beginning of the pier (adjacent to the life guard tower), collected under the water surface (2 meters)","Quantitray Sealer","","",20
"Imperial Beach: Seacoast Drive",553099487,"2018-03-01","8-9 am","Anthony, Illiana, Patrick",661,6.0,"50-60","56-60","2-3","sunny","yes","high","","Quantitray Sealer","","",191
"Imperial Beach Pier",553099484,"2018-02-28","10-11 am","Anissa, Rachael, Roberto",662,78.7,"60-70","56-60","2-3","sunny","yes","medium","Sample was collected 818 feet from the beginning of the pier (adjacent to lifeguard tower), below the water surface (2 meters).","Quantitray Sealer","","",20
"Imperial Beach Pier",553099486,"2018-02-28","10-11 am","Ruben, Caren, Delilah",662,6.0,"50-60","61-65","2-3","partly cloudy","yes","medium","Sample was retrieved four feet from the shoreline. ","Quantitray Sealer","","",0
"Imperial Beach: Seacoast Drive",553099485,"2018-02-28","10-11 am","Abbey, Annie, Paige",661,6.0,"50-60","56-60","1-2","sunny","yes","medium","Sample was retrieved 16 feet from the shoreline.  ","Quantitray Sealer","","",122
